UniqueName, UnlocalizedName, LocalizedName, Metadata
minecraft:piston, tile.pistonBase.name, Piston, 0
minecraft:wool, tile.cloth.white.name, White Wool, 0
minecraft:wool, tile.cloth.orange.name, Orange Wool, 1
minecraft:wool, tile.cloth.magenta.name, Magenta Wool, 2
minecraft:wool, tile.cloth.lightBlue.name, Light Blue Wool, 3
minecraft:wool, tile.cloth.yellow.name, Yellow Wool, 4
minecraft:wool, tile.cloth.lime.name, Lime Wool, 5
minecraft:wool, tile.cloth.pink.name, Pink Wool, 6
minecraft:wool, tile.cloth.gray.name, Gray Wool, 7
minecraft:wool, tile.cloth.silver.name, Light Gray Wool, 8
minecraft:wool, tile.cloth.cyan.name, Cyan Wool, 9
minecraft:wool, tile.cloth.purple.name, Purple Wool, 10
minecraft:wool, tile.cloth.blue.name, Blue Wool, 11
minecraft:wool, tile.cloth.brown.name, Brown Wool, 12
minecraft:wool, tile.cloth.green.name, Green Wool, 13
minecraft:wool, tile.cloth.red.name, Red Wool, 14
minecraft:wool, tile.cloth.black.name, Black Wool, 15
minecraft:yellow_flower, tile.flower1.dandelion.name, Dandelion, 0
minecraft:red_flower, tile.flower2.poppy.name, Poppy, 0
minecraft:red_flower, tile.flower2.blueOrchid.name, Blue Orchid, 1
minecraft:red_flower, tile.flower2.allium.name, Allium, 2
minecraft:red_flower, tile.flower2.houstonia.name, Azure Bluet, 3
minecraft:red_flower, tile.flower2.tulipRed.name, Red Tulip, 4
minecraft:red_flower, tile.flower2.tulipOrange.name, Orange Tulip, 5
minecraft:red_flower, tile.flower2.tulipWhite.name, White Tulip, 6
minecraft:red_flower, tile.flower2.tulipPink.name, Pink Tulip, 7
minecraft:red_flower, tile.flower2.oxeyeDaisy.name, Oxeye Daisy, 8
minecraft:brown_mushroom, tile.mushroom.name, Mushroom, 0
minecraft:red_mushroom, tile.mushroom.name, Mushroom, 0
minecraft:gold_block, tile.blockGold.name, Block of Gold, 0
minecraft:iron_block, tile.blockIron.name, Block of Iron, 0
minecraft:stone_slab, tile.stoneSlab.stone.name, Stone Slab, 0
minecraft:stone_slab, tile.stoneSlab.sand.name, Sandstone Slab, 1
minecraft:stone_slab, tile.stoneSlab.cobble.name, Cobblestone Slab, 3
minecraft:stone_slab, tile.stoneSlab.brick.name, Bricks Slab, 4
minecraft:stone_slab, tile.stoneSlab.smoothStoneBrick.name, Stone Bricks Slab, 5
minecraft:stone_slab, tile.stoneSlab.netherBrick.name, Nether Brick Slab, 6
minecraft:stone_slab, tile.stoneSlab.quartz.name, Quartz Slab, 7
minecraft:brick_block, tile.brick.name, Bricks, 0
minecraft:tnt, tile.tnt.name, TNT, 0
minecraft:bookshelf, tile.bookshelf.name, Bookshelf, 0
minecraft:mossy_cobblestone, tile.stoneMoss.name, Moss Stone, 0
minecraft:obsidian, tile.obsidian.name, Obsidian, 0
minecraft:torch, tile.torch.name, Torch, 0
minecraft:oak_stairs, tile.stairsWood.name, Oak Wood Stairs, 0
minecraft:chest, tile.chest.name, Chest, 0
minecraft:diamond_ore, tile.oreDiamond.name, Diamond Ore, 0
minecraft:diamond_block, tile.blockDiamond.name, Block of Diamond, 0
minecraft:crafting_table, tile.workbench.name, Crafting Table, 0
minecraft:furnace, tile.furnace.name, Furnace, 0
minecraft:ladder, tile.ladder.name, Ladder, 0
minecraft:rail, tile.rail.name, Rail, 0
minecraft:stone_stairs, tile.stairsStone.name, Cobblestone Stairs, 0
minecraft:lever, tile.lever.name, Lever, 0
minecraft:stone_pressure_plate, tile.pressurePlateStone.name, Stone Pressure Plate, 0
minecraft:wooden_pressure_plate, tile.pressurePlateWood.name, Wooden Pressure Plate, 0
minecraft:redstone_ore, tile.oreRedstone.name, Redstone Ore, 0
minecraft:redstone_torch, tile.notGate.name, Redstone Torch, 0
minecraft:stone_button, tile.button.name, Button, 0
minecraft:snow_layer, tile.snow.name, Snow, 0
minecraft:ice, tile.ice.name, Ice, 0
minecraft:snow, tile.snow.name, Snow, 0
minecraft:cactus, tile.cactus.name, Cactus, 0
minecraft:clay, tile.clay.name, Clay, 0
minecraft:jukebox, tile.jukebox.name, Jukebox, 0
minecraft:fence, tile.fence.name, Oak Fence, 0
minecraft:pumpkin, tile.pumpkin.name, Pumpkin, 0
minecraft:netherrack, tile.hellrock.name, Netherrack, 0
minecraft:soul_sand, tile.hellsand.name, Soul Sand, 0
minecraft:glowstone, tile.lightgem.name, Glowstone, 0
minecraft:lit_pumpkin, tile.litpumpkin.name, Jack o'Lantern, 0
minecraft:stained_glass, tile.stainedGlass.white.name, White Stained Glass, 0
minecraft:stained_glass, tile.stainedGlass.orange.name, Orange Stained Glass, 1
minecraft:stained_glass, tile.stainedGlass.magenta.name, Magenta Stained Glass, 2
minecraft:stained_glass, tile.stainedGlass.lightBlue.name, Light Blue Stained Glass, 3
minecraft:stained_glass, tile.stainedGlass.yellow.name, Yellow Stained Glass, 4
minecraft:stained_glass, tile.stainedGlass.lime.name, Lime Stained Glass, 5
minecraft:stained_glass, tile.stainedGlass.pink.name, Pink Stained Glass, 6
minecraft:stained_glass, tile.stainedGlass.gray.name, Gray Stained Glass, 7
minecraft:stained_glass, tile.stainedGlass.silver.name, Light Gray Stained Glass, 8
minecraft:stained_glass, tile.stainedGlass.cyan.name, Cyan Stained Glass, 9
minecraft:stained_glass, tile.stainedGlass.purple.name, Purple Stained Glass, 10
minecraft:stained_glass, tile.stainedGlass.blue.name, Blue Stained Glass, 11
minecraft:stained_glass, tile.stainedGlass.brown.name, Brown Stained Glass, 12
minecraft:stained_glass, tile.stainedGlass.green.name, Green Stained Glass, 13
minecraft:stained_glass, tile.stainedGlass.red.name, Red Stained Glass, 14
minecraft:stained_glass, tile.stainedGlass.black.name, Black Stained Glass, 15
minecraft:trapdoor, tile.trapdoor.name, Wooden Trapdoor, 0
minecraft:monster_egg, tile.monsterStoneEgg.stone.name, Stone Monster Egg, 0
minecraft:monster_egg, tile.monsterStoneEgg.cobble.name, Cobblestone Monster Egg, 1
minecraft:monster_egg, tile.monsterStoneEgg.brick.name, Stone Brick Monster Egg, 2
minecraft:monster_egg, tile.monsterStoneEgg.mossybrick.name, Mossy Stone Brick Monster Egg, 3
minecraft:monster_egg, tile.monsterStoneEgg.crackedbrick.name, Cracked Stone Brick Monster Egg, 4
minecraft:monster_egg, tile.monsterStoneEgg.chiseledbrick.name, Chiseled Stone Brick Monster Egg, 5
minecraft:stonebrick, tile.stonebricksmooth.default.name, Stone Bricks, 0
minecraft:stonebrick, tile.stonebricksmooth.mossy.name, Mossy Stone Bricks, 1
minecraft:stonebrick, tile.stonebricksmooth.cracked.name, Cracked Stone Bricks, 2
minecraft:stonebrick, tile.stonebricksmooth.chiseled.name, Chiseled Stone Bricks, 3
minecraft:iron_bars, tile.fenceIron.name, Iron Bars, 0
minecraft:glass_pane, tile.thinGlass.name, Glass Pane, 0
minecraft:melon_block, tile.melon.name, Melon, 0
minecraft:vine, tile.vine.name, Vines, 0
minecraft:fence_gate, tile.fenceGate.name, Oak Fence Gate, 0
minecraft:brick_stairs, tile.stairsBrick.name, Brick Stairs, 0
minecraft:stone_brick_stairs, tile.stairsStoneBrickSmooth.name, Stone Brick Stairs, 0
minecraft:mycelium, tile.mycel.name, Mycelium, 0
minecraft:waterlily, tile.waterlily.name, Lily Pad, 0
minecraft:nether_brick, tile.netherBrick.name, Nether Brick, 0
minecraft:nether_brick_fence, tile.netherFence.name, Nether Brick Fence, 0
minecraft:nether_brick_stairs, tile.stairsNetherBrick.name, Nether Brick Stairs, 0
minecraft:enchanting_table, tile.enchantmentTable.name, Enchantment Table, 0
minecraft:end_portal_frame, tile.endPortalFrame.name, End Portal, 0
minecraft:end_stone, tile.whiteStone.name, End Stone, 0
minecraft:redstone_lamp, tile.redstoneLight.name, Redstone Lamp, 0
minecraft:wooden_slab, tile.woodSlab.oak.name, Oak Wood Slab, 0
minecraft:wooden_slab, tile.woodSlab.spruce.name, Spruce Wood Slab, 1
minecraft:wooden_slab, tile.woodSlab.birch.name, Birch Wood Slab, 2
minecraft:wooden_slab, tile.woodSlab.jungle.name, Jungle Wood Slab, 3
minecraft:wooden_slab, tile.woodSlab.acacia.name, Acacia Wood Slab, 4
minecraft:wooden_slab, tile.woodSlab.big_oak.name, Dark Oak Wood Slab, 5
minecraft:sandstone_stairs, tile.stairsSandStone.name, Sandstone Stairs, 0
minecraft:emerald_ore, tile.oreEmerald.name, Emerald Ore, 0
minecraft:ender_chest, tile.enderChest.name, Ender Chest, 0
minecraft:tripwire_hook, tile.tripWireSource.name, Tripwire Hook, 0
minecraft:emerald_block, tile.blockEmerald.name, Block of Emerald, 0
minecraft:spruce_stairs, tile.stairsWoodSpruce.name, Spruce Wood Stairs, 0
minecraft:birch_stairs, tile.stairsWoodBirch.name, Birch Wood Stairs, 0
minecraft:jungle_stairs, tile.stairsWoodJungle.name, Jungle Wood Stairs, 0
minecraft:beacon, tile.beacon.name, Beacon, 0
minecraft:cobblestone_wall, tile.cobbleWall.normal.name, Cobblestone Wall, 0
minecraft:cobblestone_wall, tile.cobbleWall.mossy.name, Mossy Cobblestone Wall, 1
minecraft:wooden_button, tile.button.name, Button, 0
minecraft:anvil, tile.anvil.intact.name, Anvil, 0
minecraft:anvil, tile.anvil.slightlyDamaged.name, Slightly Damaged Anvil, 1
minecraft:anvil, tile.anvil.veryDamaged.name, Very Damaged Anvil, 2
minecraft:trapped_chest, tile.chestTrap.name, Trapped Chest, 0
minecraft:light_weighted_pressure_plate, tile.weightedPlate_light.name, Weighted Pressure Plate (Light), 0
minecraft:heavy_weighted_pressure_plate, tile.weightedPlate_heavy.name, Weighted Pressure Plate (Heavy), 0
minecraft:daylight_detector, tile.daylightDetector.name, Daylight Sensor, 0
minecraft:redstone_block, tile.blockRedstone.name, Block of Redstone, 0
minecraft:quartz_ore, tile.netherquartz.name, Nether Quartz Ore, 0
minecraft:hopper, tile.hopper.name, Hopper, 0
minecraft:quartz_block, tile.quartzBlock.default.name, Block of Quartz, 0
minecraft:quartz_block, tile.quartzBlock.chiseled.name, Chiseled Quartz Block, 1
minecraft:quartz_block, tile.quartzBlock.lines.name, Pillar Quartz Block, 2
minecraft:quartz_stairs, tile.stairsQuartz.name, Quartz Stairs, 0
minecraft:activator_rail, tile.activatorRail.name, Activator Rail, 0
minecraft:dropper, tile.dropper.name, Dropper, 0
minecraft:stained_hardened_clay, tile.clayHardenedStained.white.name, White Terracotta, 0
minecraft:stained_hardened_clay, tile.clayHardenedStained.orange.name, Orange Terracotta, 1
minecraft:stained_hardened_clay, tile.clayHardenedStained.magenta.name, Magenta Terracotta, 2
minecraft:stained_hardened_clay, tile.clayHardenedStained.lightBlue.name, Light Blue Terracotta, 3
minecraft:stained_hardened_clay, tile.clayHardenedStained.yellow.name, Yellow Terracotta, 4
minecraft:stained_hardened_clay, tile.clayHardenedStained.lime.name, Lime Terracotta, 5
minecraft:stained_hardened_clay, tile.clayHardenedStained.pink.name, Pink Terracotta, 6
minecraft:stained_hardened_clay, tile.clayHardenedStained.gray.name, Gray Terracotta, 7
minecraft:stained_hardened_clay, tile.clayHardenedStained.silver.name, Light Gray Terracotta, 8
minecraft:stained_hardened_clay, tile.clayHardenedStained.cyan.name, Cyan Terracotta, 9
minecraft:stained_hardened_clay, tile.clayHardenedStained.purple.name, Purple Terracotta, 10
minecraft:stained_hardened_clay, tile.clayHardenedStained.blue.name, Blue Terracotta, 11
minecraft:stained_hardened_clay, tile.clayHardenedStained.brown.name, Brown Terracotta, 12
minecraft:stained_hardened_clay, tile.clayHardenedStained.green.name, Green Terracotta, 13
minecraft:stained_hardened_clay, tile.clayHardenedStained.red.name, Red Terracotta, 14
minecraft:stained_hardened_clay, tile.clayHardenedStained.black.name, Black Terracotta, 15
minecraft:stained_glass_pane, tile.thinStainedGlass.white.name, White Stained Glass Pane, 0
minecraft:stained_glass_pane, tile.thinStainedGlass.orange.name, Orange Stained Glass Pane, 1
minecraft:stained_glass_pane, tile.thinStainedGlass.magenta.name, Magenta Stained Glass Pane, 2
minecraft:stained_glass_pane, tile.thinStainedGlass.lightBlue.name, Light Blue Stained Glass Pane, 3
minecraft:stained_glass_pane, tile.thinStainedGlass.yellow.name, Yellow Stained Glass Pane, 4
minecraft:stained_glass_pane, tile.thinStainedGlass.lime.name, Lime Stained Glass Pane, 5
minecraft:stained_glass_pane, tile.thinStainedGlass.pink.name, Pink Stained Glass Pane, 6
minecraft:stained_glass_pane, tile.thinStainedGlass.gray.name, Gray Stained Glass Pane, 7
minecraft:stained_glass_pane, tile.thinStainedGlass.silver.name, Light Gray Stained Glass Pane, 8
minecraft:stained_glass_pane, tile.thinStainedGlass.cyan.name, Cyan Stained Glass Pane, 9
minecraft:stained_glass_pane, tile.thinStainedGlass.purple.name, Purple Stained Glass Pane, 10
minecraft:stained_glass_pane, tile.thinStainedGlass.blue.name, Blue Stained Glass Pane, 11
minecraft:stained_glass_pane, tile.thinStainedGlass.brown.name, Brown Stained Glass Pane, 12
minecraft:stained_glass_pane, tile.thinStainedGlass.green.name, Green Stained Glass Pane, 13
minecraft:stained_glass_pane, tile.thinStainedGlass.red.name, Red Stained Glass Pane, 14
minecraft:stained_glass_pane, tile.thinStainedGlass.black.name, Black Stained Glass Pane, 15
minecraft:leaves2, tile.leaves.acacia.name, Acacia Leaves, 0
minecraft:leaves2, tile.leaves.big_oak.name, Dark Oak Leaves, 1
minecraft:log2, tile.log.acacia.name, Acacia Wood, 0
minecraft:log2, tile.log.big_oak.name, Dark Oak Wood, 1
minecraft:acacia_stairs, tile.stairsWoodAcacia.name, Acacia Wood Stairs, 0
minecraft:dark_oak_stairs, tile.stairsWoodDarkOak.name, Dark Oak Wood Stairs, 0
minecraft:slime, tile.slime.name, Slime Block, 0
minecraft:iron_trapdoor, tile.ironTrapdoor.name, Iron Trapdoor, 0
minecraft:prismarine, tile.prismarine.rough.name, Prismarine, 0
minecraft:prismarine, tile.prismarine.bricks.name, Prismarine Bricks, 1
minecraft:prismarine, tile.prismarine.dark.name, Dark Prismarine, 2
minecraft:sea_lantern, tile.seaLantern.name, Sea Lantern, 0
minecraft:hay_block, tile.hayBlock.name, Hay Bale, 0
minecraft:carpet, tile.woolCarpet.white.name, White Carpet, 0
minecraft:carpet, tile.woolCarpet.orange.name, Orange Carpet, 1
minecraft:carpet, tile.woolCarpet.magenta.name, Magenta Carpet, 2
minecraft:carpet, tile.woolCarpet.lightBlue.name, Light Blue Carpet, 3
minecraft:carpet, tile.woolCarpet.yellow.name, Yellow Carpet, 4
minecraft:carpet, tile.woolCarpet.lime.name, Lime Carpet, 5
minecraft:carpet, tile.woolCarpet.pink.name, Pink Carpet, 6
minecraft:carpet, tile.woolCarpet.gray.name, Gray Carpet, 7
minecraft:carpet, tile.woolCarpet.silver.name, Light Gray Carpet, 8
minecraft:carpet, tile.woolCarpet.cyan.name, Cyan Carpet, 9
minecraft:carpet, tile.woolCarpet.purple.name, Purple Carpet, 10
minecraft:carpet, tile.woolCarpet.blue.name, Blue Carpet, 11
minecraft:carpet, tile.woolCarpet.brown.name, Brown Carpet, 12
minecraft:carpet, tile.woolCarpet.green.name, Green Carpet, 13
minecraft:carpet, tile.woolCarpet.red.name, Red Carpet, 14
minecraft:carpet, tile.woolCarpet.black.name, Black Carpet, 15
minecraft:hardened_clay, tile.clayHardened.name, Terracotta, 0
minecraft:coal_block, tile.blockCoal.name, Block of Coal, 0
minecraft:packed_ice, tile.icePacked.name, Packed Ice, 0
minecraft:double_plant, tile.doublePlant.sunflower.name, Sunflower, 0
minecraft:double_plant, tile.doublePlant.syringa.name, Lilac, 1
minecraft:double_plant, tile.doublePlant.grass.name, Double Tallgrass, 2
minecraft:double_plant, tile.doublePlant.fern.name, Large Fern, 3
minecraft:double_plant, tile.doublePlant.rose.name, Rose Bush, 4
minecraft:double_plant, tile.doublePlant.paeonia.name, Peony, 5
minecraft:red_sandstone, tile.redSandStone.default.name, Red Sandstone, 0
minecraft:red_sandstone, tile.redSandStone.chiseled.name, Chiseled Red Sandstone, 1
minecraft:red_sandstone, tile.redSandStone.smooth.name, Smooth Red Sandstone, 2
minecraft:red_sandstone_stairs, tile.stairsRedSandStone.name, Red Sandstone Stairs, 0
minecraft:stone_slab2, tile.stoneSlab2.red_sandstone.name, Red Sandstone Slab, 0
minecraft:spruce_fence_gate, tile.spruceFenceGate.name, Spruce Fence Gate, 0
minecraft:birch_fence_gate, tile.birchFenceGate.name, Birch Fence Gate, 0
minecraft:jungle_fence_gate, tile.jungleFenceGate.name, Jungle Fence Gate, 0
minecraft:dark_oak_fence_gate, tile.darkOakFenceGate.name, Dark Oak Fence Gate, 0
minecraft:acacia_fence_gate, tile.acaciaFenceGate.name, Acacia Fence Gate, 0
minecraft:spruce_fence, tile.spruceFence.name, Spruce Fence, 0
minecraft:birch_fence, tile.birchFence.name, Birch Fence, 0
minecraft:jungle_fence, tile.jungleFence.name, Jungle Fence, 0
minecraft:dark_oak_fence, tile.darkOakFence.name, Dark Oak Fence, 0
minecraft:acacia_fence, tile.acaciaFence.name, Acacia Fence, 0
minecraft:end_rod, tile.endRod.name, End Rod, 0
minecraft:chorus_plant, tile.chorusPlant.name, Chorus Plant, 0
minecraft:chorus_flower, tile.chorusFlower.name, Chorus Flower, 0
minecraft:purpur_block, tile.purpurBlock.name, Purpur Block, 0
minecraft:purpur_pillar, tile.purpurPillar.name, Purpur Pillar, 0
minecraft:purpur_stairs, tile.stairsPurpur.name, Purpur Stairs, 0
minecraft:purpur_slab, tile.purpurSlab.name, Purpur Slab, 0
minecraft:end_bricks, tile.endBricks.name, End Stone Bricks, 0
minecraft:magma, tile.magma.name, Magma Block, 0
minecraft:nether_wart_block, tile.netherWartBlock.name, Nether Wart Block, 0
minecraft:red_nether_brick, tile.redNetherBrick.name, Red Nether Brick, 0
minecraft:bone_block, tile.boneBlock.name, Bone Block, 0
minecraft:observer, tile.observer.name, Observer, 0
minecraft:white_shulker_box, tile.shulkerBoxWhite.name, White Shulker Box, 0
minecraft:orange_shulker_box, tile.shulkerBoxOrange.name, Orange Shulker Box, 0
minecraft:magenta_shulker_box, tile.shulkerBoxMagenta.name, Magenta Shulker Box, 0
minecraft:light_blue_shulker_box, tile.shulkerBoxLightBlue.name, Light Blue Shulker Box, 0
minecraft:yellow_shulker_box, tile.shulkerBoxYellow.name, Yellow Shulker Box, 0
minecraft:lime_shulker_box, tile.shulkerBoxLime.name, Lime Shulker Box, 0
minecraft:pink_shulker_box, tile.shulkerBoxPink.name, Pink Shulker Box, 0
minecraft:gray_shulker_box, tile.shulkerBoxGray.name, Gray Shulker Box, 0
minecraft:silver_shulker_box, tile.shulkerBoxSilver.name, Light Gray Shulker Box, 0
minecraft:cyan_shulker_box, tile.shulkerBoxCyan.name, Cyan Shulker Box, 0
minecraft:purple_shulker_box, tile.shulkerBoxPurple.name, Purple Shulker Box, 0
minecraft:blue_shulker_box, tile.shulkerBoxBlue.name, Blue Shulker Box, 0
minecraft:brown_shulker_box, tile.shulkerBoxBrown.name, Brown Shulker Box, 0
minecraft:green_shulker_box, tile.shulkerBoxGreen.name, Green Shulker Box, 0
minecraft:red_shulker_box, tile.shulkerBoxRed.name, Red Shulker Box, 0
minecraft:black_shulker_box, tile.shulkerBoxBlack.name, Black Shulker Box, 0
minecraft:white_glazed_terracotta, tile.glazedTerracottaWhite.name, White Glazed Terracotta, 0
minecraft:orange_glazed_terracotta, tile.glazedTerracottaOrange.name, Orange Glazed Terracotta, 0
minecraft:magenta_glazed_terracotta, tile.glazedTerracottaMagenta.name, Magenta Glazed Terracotta, 0
minecraft:light_blue_glazed_terracotta, tile.glazedTerracottaLightBlue.name, Light Blue Glazed Terracotta, 0
minecraft:yellow_glazed_terracotta, tile.glazedTerracottaYellow.name, Yellow Glazed Terracotta, 0
minecraft:lime_glazed_terracotta, tile.glazedTerracottaLime.name, Lime Glazed Terracotta, 0
minecraft:pink_glazed_terracotta, tile.glazedTerracottaPink.name, Pink Glazed Terracotta, 0
minecraft:gray_glazed_terracotta, tile.glazedTerracottaGray.name, Gray Glazed Terracotta, 0
minecraft:silver_glazed_terracotta, tile.glazedTerracottaSilver.name, Light Gray Glazed Terracotta, 0
minecraft:cyan_glazed_terracotta, tile.glazedTerracottaCyan.name, Cyan Glazed Terracotta, 0
minecraft:purple_glazed_terracotta, tile.glazedTerracottaPurple.name, Purple Glazed Terracotta, 0
minecraft:blue_glazed_terracotta, tile.glazedTerracottaBlue.name, Blue Glazed Terracotta, 0
minecraft:brown_glazed_terracotta, tile.glazedTerracottaBrown.name, Brown Glazed Terracotta, 0
minecraft:green_glazed_terracotta, tile.glazedTerracottaGreen.name, Green Glazed Terracotta, 0
minecraft:red_glazed_terracotta, tile.glazedTerracottaRed.name, Red Glazed Terracotta, 0
minecraft:black_glazed_terracotta, tile.glazedTerracottaBlack.name, Black Glazed Terracotta, 0
minecraft:concrete, tile.concrete.white.name, White Concrete, 0
minecraft:concrete, tile.concrete.orange.name, Orange Concrete, 1
minecraft:concrete, tile.concrete.magenta.name, Magenta Concrete, 2
minecraft:concrete, tile.concrete.lightBlue.name, Light Blue Concrete, 3
minecraft:concrete, tile.concrete.yellow.name, Yellow Concrete, 4
minecraft:concrete, tile.concrete.lime.name, Lime Concrete, 5
minecraft:concrete, tile.concrete.pink.name, Pink Concrete, 6
minecraft:concrete, tile.concrete.gray.name, Gray Concrete, 7
minecraft:concrete, tile.concrete.silver.name, Light Gray Concrete, 8
minecraft:concrete, tile.concrete.cyan.name, Cyan Concrete, 9
minecraft:concrete, tile.concrete.purple.name, Purple Concrete, 10
minecraft:concrete, tile.concrete.blue.name, Blue Concrete, 11
minecraft:concrete, tile.concrete.brown.name, Brown Concrete, 12
minecraft:concrete, tile.concrete.green.name, Green Concrete, 13
minecraft:concrete, tile.concrete.red.name, Red Concrete, 14
minecraft:concrete, tile.concrete.black.name, Black Concrete, 15
minecraft:concrete_powder, tile.concretePowder.white.name, White Concrete Powder, 0
minecraft:concrete_powder, tile.concretePowder.orange.name, Orange Concrete Powder, 1
minecraft:concrete_powder, tile.concretePowder.magenta.name, Magenta Concrete Powder, 2
minecraft:concrete_powder, tile.concretePowder.lightBlue.name, Light Blue Concrete Powder, 3
minecraft:concrete_powder, tile.concretePowder.yellow.name, Yellow Concrete Powder, 4
minecraft:concrete_powder, tile.concretePowder.lime.name, Lime Concrete Powder, 5
minecraft:concrete_powder, tile.concretePowder.pink.name, Pink Concrete Powder, 6
minecraft:concrete_powder, tile.concretePowder.gray.name, Gray Concrete Powder, 7
minecraft:concrete_powder, tile.concretePowder.silver.name, Light Gray Concrete Powder, 8
minecraft:concrete_powder, tile.concretePowder.cyan.name, Cyan Concrete Powder, 9
minecraft:concrete_powder, tile.concretePowder.purple.name, Purple Concrete Powder, 10
minecraft:concrete_powder, tile.concretePowder.blue.name, Blue Concrete Powder, 11
minecraft:concrete_powder, tile.concretePowder.brown.name, Brown Concrete Powder, 12
minecraft:concrete_powder, tile.concretePowder.green.name, Green Concrete Powder, 13
minecraft:concrete_powder, tile.concretePowder.red.name, Red Concrete Powder, 14
minecraft:concrete_powder, tile.concretePowder.black.name, Black Concrete Powder, 15
minecraft:iron_shovel, item.shovelIron.name, Iron Shovel, 0
minecraft:iron_pickaxe, item.pickaxeIron.name, Iron Pickaxe, 0
minecraft:iron_axe, item.hatchetIron.name, Iron Axe, 0
minecraft:flint_and_steel, item.flintAndSteel.name, Flint and Steel, 0
minecraft:apple, item.apple.name, Apple, 0
minecraft:bow, item.bow.name, Bow, 0
minecraft:arrow, item.arrow.name, Arrow, 0
minecraft:coal, item.coal.name, Coal, 0
minecraft:coal, item.charcoal.name, Charcoal, 1
minecraft:diamond, item.diamond.name, Diamond, 0
minecraft:iron_ingot, item.ingotIron.name, Iron Ingot, 0
minecraft:gold_ingot, item.ingotGold.name, Gold Ingot, 0
minecraft:iron_sword, item.swordIron.name, Iron Sword, 0
minecraft:wooden_sword, item.swordWood.name, Wooden Sword, 0
minecraft:wooden_shovel, item.shovelWood.name, Wooden Shovel, 0
minecraft:wooden_pickaxe, item.pickaxeWood.name, Wooden Pickaxe, 0
